,Unnamed: 0,ward code,total_room,Entire home/apt,Hotel room,Private room,Shared room,avg_price,avg_minimum_nights,avg_reviews_per_month,avg_availability_365,avg_star_rate,ward name,nonwork_rate,middle_high_class_pro,advanced_education_rate,public_transport_station_coverage,average_commute_distance,All Usual residents,unhealthy_rate,disabled_pro,average_crime,young_people,children_teenager,old_people,middle_aged,household_deprivation_rate,mean_rent_price
72,72,E05011107,348,219.0,0.0,127.0,2.0,138.1867816091954,4.112068965517241,1.01521897810219,86.21551724137932,4.713270142180095,North Walworth,0.09,0.46,0.17,0.56,2.91,15655.0,0.04,0.13,208.92,0.19,0.13,0.06,0.62,0.51,1307.5
73,73,E05011108,162,112.0,0.0,48.0,2.0,113.32716049382717,3.061728395061728,0.7362698412698412,87.49382716049382,4.758144329896908,Nunhead & Queen's Road,0.12,0.47,0.09,0.52,3.41,15594.0,0.06,0.17,105.96,0.11,0.16,0.09,0.64,0.58,1211.01
74,74,E05011109,148,74.0,0.0,72.0,2.0,97.47297297297295,3.5135135135135136,1.3274561403508771,126.7162162162162,4.674827586206896,Old Kent Road,0.13,0.37,0.11,0.58,4.12,18585.0,0.05,0.14,170.96,0.14,0.18,0.08,0.6,0.64,1159.94
75,75,E05011110,141,75.0,0.0,65.0,1.0,99.30496453900707,3.4680851063829787,1.0074311926605506,120.67375886524825,4.704823529411765,Peckham,0.13,0.38,0.12,0.55,4.31,14764.0,0.04,0.15,101.88,0.15,0.17,0.08,0.6,0.62,1098.4
76,76,E05011111,104,63.0,0.0,41.0,0.0,119.59615384615384,3.394230769230769,0.9567469879518072,121.77884615384616,4.822428571428572,Peckham Rye,0.07,0.56,0.07,0.4,2.94,10193.0,0.04,0.13,48.46,0.09,0.21,0.09,0.61,0.46,1199.34
77,77,E05011112,233,99.0,0.0,134.0,0.0,103.88841201716738,4.8626609442060085,1.2333701657458565,89.34763948497854,4.753698630136986,Rotherhithe,0.09,0.54,0.09,0.59,3.01,15383.0,0.04,0.13,153.42,0.12,0.15,0.08,0.65,0.51,1263.4
78,78,E05011113,196,141.0,0.0,55.0,0.0,129.8265306122449,4.408163265306122,0.7000000000000001,93.45918367346938,4.752338709677419,Rye Lane,0.09,0.53,0.08,0.49,2.98,14265.0,0.04,0.15,173.88,0.11,0.16,0.09,0.64,0.52,1241.11
79,79,E05011114,220,132.0,0.0,88.0,0.0,148.99545454545455,4.209090909090909,1.2211173184357542,91.35909090909092,4.705270270270271,St George's,0.09,0.48,0.22,0.48,2.68,8137.0,0.04,0.14,120.42,0.22,0.12,0.06,0.6,0.47,
80,80,E05011115,198,130.0,0.0,68.0,0.0,122.4141414141414,4.262626262626263,0.8671257485029941,101.24747474747475,4.741875,St Giles,0.09,0.47,0.13,0.51,3.37,16452.0,0.04,0.13,122.75,0.14,0.15,0.08,0.63,0.53,
81,81,E05011116,236,136.0,0.0,97.0,3.0,121.0635593220339,4.436440677966102,1.027,124.05084745762711,4.730066666666667,South Bermondsey,0.12,0.42,0.11,0.5,3.35,15912.0,0.05,0.15,125.92,0.15,0.16,0.08,0.61,0.59,1135.01
